Energieverbrauch: Deutschland, Jahre, Produktionsbereiche;;;;;;;;;;;;;;;;;;;;;
Energieverbrauch (TJ);;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
1;Erz.d. Landwirtschaft u. Jagd sowie damit verb. DL;206567;245008;221128;215325;201556;197246;203254;206567;197060;193653;193028;198636;189545;203680;205821;205470;201021;224816;231939;222500
2;Forstwirtschaftl. Erzeugnisse und Dienstleistungen;6438;7941;7620;7254;8316;6920;6504;6438;6658;6737;7198;7522;7699;8498;7154;7522;7567;6388;6553;6583
3;Fische und Fischereierz., Aquakulturerz., DL;2920;4155;3350;3720;3137;3128;2962;2920;2770;2702;2617;2683;2581;2573;2630;2680;2429;2451;2520;2497
4;Kohle;42728;76847;71506;60658;52097;43988;41525;42728;50760;57928;51966;58094;49295;41936;43217;41259;62231;30564;29056;28894
5;Erdöl und Erdgas;20303;26462;24269;25027;24370;23675;22586;20303;10235;11522;17087;11260;10428;10470;10871;11290;11496;11173;11772;11643
6;Erze, Steine und Erden, sonstige Bergbauerz., DL;34643;56184;37447;36161;38811;35983;36671;34643;34616;42138;34305;33865;33516;41273;33990;34135;29252;26278;27839;26909
7;Nahrungs- u. Futtermittel, Getränke, Tabakerzeugn.;337304;342487;336393;340374;344035;339197;345110;337304;349875;344480;347550;352300;349894;350085;344699;350055;339050;336930;336172;336302
8;Textilien, Bekleidung, Leder und Lederwaren;80378;98328;93204;90854;84028;83370;92439;80378;68716;63087;62749;54980;51745;48156;39925;43807;40310;37159;36391;35221
9;Holz,Holz- u.Korkwaren (oh.Möbel),Flecht- u.Korbw.;61389;65686;64029;67586;70354;74284;73592;61389;83006;96001;97878;96492;102459;95902;100145;115683;117990;92358;108251;115112
10;Papier, Pappe und Waren daraus;299331;286283;291162;282366;296559;309947;306074;299331;321332;334136;451249;374566;397287;377894;367423;386882;367904;347828;358449;349548
11;DL d.Vervielf. v. besp.Ton-, Bild- u. Datenträgern;49984;39864;39241;40849;42352;53437;54738;49984;52118;63048;65007;66297;51123;44433;43355;43419;39901;46386;39272;36598
12;Kokerei- und Mineralölerzeugnisse;357284;381416;353129;359897;336978;357921;345272;357284;365153;412952;434363;423099;391449;399441;354491;357536;351361;339297;379486;361483
13;Chemische Erzeugnisse;1588486;1565131;1635928;1589582;1583239;1631447;1592648;1588486;1646194;1688926;1735804;1675469;1746909;1712073;1584725;1766121;1758476;1705419;1690634;1718724
14;Pharmazeutische Erzeugnisse;100849;50562;51890;85567;81517;78373;76461;100849;39055;36977;41559;51196;40219;38477;33131;33955;37654;39402;38281;35738
15;Gummi- und Kunststoffwaren;165987;158491;154267;162665;166552;170099;171717;165987;178968;188787;182239;194800;193984;197206;179495;198653;185716;178565;179147;173851
16;Glas u. Glaswaren, Keramik, verarb. Steine u.Erden;350237;430148;431125;423273;420021;404753;372556;350237;375386;379530;338805;362538;406306;382724;349831;360618;371670;350326;347987;348715
17;Metalle;1008728;973471;1018981;1019700;988938;1040026;1014250;1008728;1063372;1062679;986030;1045049;1008386;999620;758213;915468;940460;917597;883773;876230
18;Metallerzeugnisse;152513;155755;154618;163121;162416;163778;169968;152513;202838;189011;184846;194539;191245;198763;177419;197522;202137;192720;205793;210503
19;Datenverarbeitungsgeräte, elektr.u.opt.Erzeugnisse;59155;77624;74188;73765;73712;70710;74253;59155;67795;65765;63975;75245;82973;81201;55509;58040;65646;63802;60876;58096
20;Elektrische Ausrüstungen;81178;84097;78735;80047;76260;76148;75904;81178;76580;73170;72247;78082;82596;73090;61871;68813;74481;70901;70168;82369
21;Maschinen;147001;170894;159795;156663;153606;153059;155669;147001;157592;156859;158826;167093;170555;180134;152325;165103;160227;158538;154646;151007
22;Kraftwagen und Kraftwagenteile;225158;207983;210382;219322;221888;221226;228457;225158;243038;250176;248470;250343;252059;238823;204345;230491;224335;221727;228032;220852
23;Sonstige Fahrzeuge;31035;32228;30239;27762;28359;28068;28637;31035;33254;32879;34006;27215;24628;21770;22402;25374;23440;23430;24057;22589
24;Möbel und Waren, a.n.g.;41264;34769;34050;32403;32244;26712;31575;41264;27944;27576;24442;42435;39589;52529;49309;47641;49662;47824;51327;43476
25;Rep.- u.Installationsarb. an Maschinen u. Ausrüst.;28260;4243;4130;4654;4513;4762;22964;28260;21586;21341;22727;24998;22962;26906;26592;29015;29509;31574;29788;31312
26;Energie und Dienstleistungen der Energieversorgung;39105;25650;24139;24115;22995;37796;38113;39105;40504;38851;72744;64600;74824;70068;66830;74715;66907;69398;64476;67813
27;Wasser, Dienstleistungen der Wasserversorgung;82479;85630;84850;83321;81618;86086;81118;82479;79116;79112;78150;83840;80033;81659;85738;91502;85138;80902;87751;79781
28;DL d. Abwasser-, Abfallentsorgung u. Rückgewinnung;117665;143711;142553;147417;145808;139916;130457;117665;114147;115595;117730;133529;132909;124985;133371;126116;119941;114883;129179;119933
29;Hoch- und Tiefbauarbeiten;200595;245806;240650;229534;238435;220856;209530;200595;190461;170604;169577;181324;165789;166003;155411;153829;164748;138800;132792;137781
30;Vorb.Baustellen-,Bauinstallations-,Ausbauarbeiten;93109;104883;99848;100762;98665;95024;96165;93109;87567;84797;82512;87266;77603;78188;88943;93463;96023;96046;104105;101759
31;Handelsleistungen mit Kfz, Instandh. und Reparatur;98128;108905;106375;112152;110751;106812;109235;98128;88872;84333;84653;91281;86365;88564;84925;90638;80767;83837;87898;84070
32;Großhandelsleistungen (oh.Handelsleistungen m.Kfz);191236;210024;203739;207074;203668;200849;202804;191236;180987;182718;189179;204381;173806;173811;164256;165602;156450;156025;159525;154956
33;Einzelhandelsleistungen (ohne Handelsleist.m.Kfz);414182;425995;404909;401727;392697;396399;402171;414182;411430;399026;358788;347406;319372;334977;322957;345455;315087;308146;320352;305137
34;Landverkehrs- u. Transportleist. in Rohrfernleit.;367200;337779;340842;335423;349916;351481;357343;367200;368516;371120;370608;381396;388270;346742;347473;356556;360683;348824;348642;340566
35;Schifffahrtsleistungen;56186;79894;80476;75576;80283;61087;57817;56186;56656;47960;289396;294128;392049;397408;321768;347584;297632;340234;337176;319918
36;Luftfahrtleistungen;365964;312143;324325;333820;358022;379082;369552;365964;376551;383609;396813;409978;427710;429766;398305;383562;383972;392343;404749;388352
37;Lagereileist., sonst.Unterstützungs-DL f.d.Verkehr;175584;151618;154205;156445;169064;179347;186898;175584;174885;182972;181065;200108;192801;193389;171572;183092;177315;173236;181775;179986
38;Post-DL und private Kurier- und Express-DL;53889;48585;47808;48992;53825;54502;54899;53889;52371;53783;52897;56047;50950;52381;49909;51896;44822;44237;50641;56897
39;Beherbergungs- und Gastronomiedienstleistungen;199709;195279;185859;182204;182971;187672;190493;199709;200630;198940;194017;206128;174509;177955;189461;192605;176368;169053;178881;163935
40;Informations- und Kommunikationsdienstleistungen;139160;131851;134829;142610;148884;159276;163468;139160;146842;160711;163270;173867;170527;171571;153090;159072;149159;151149;148843;131921
41;Finanz- und Versicherungsdienstleistungen;82531;86834;79126;79529;76917;78587;80752;82531;79518;75923;71707;72360;62080;68843;63930;66050;59033;59383;62168;58288
42;Dienstleistungen d. Grundstücks- u. Wohnungswesens;68490;60064;63894;68398;69067;73375;68263;68490;69264;67390;67742;76343;71609;74062;71785;74556;69293;71413;71778;71048
43;Freiberufliche, wissenschaftliche u. technische DL;203684;167148;166028;165271;169259;178549;199861;203684;200339;197223;207617;222222;216673;231316;225956;235022;219096;219090;232336;226483
44;Sonstige wirtschaftliche Dienstleistungen;28710;23809;23685;26813;27308;25618;26849;28710;27552;27106;29026;28232;31061;33414;34668;34535;33336;28565;30445;38621
45;DL d.öff.Verwaltung,d.Verteidigung u.d.Sozialvers.;230467;282349;270398;264519;247129;239618;235073;230467;221303;212250;215341;237204;210678;229805;215206;228000;204270;192017;211205;199864
46;Erziehungs- und Unterrichtsdienstleistungen;151851;175560;160387;160872;154897;148364;159753;151851;151972;151111;159663;164702;136844;150828;134612;159790;134877;121481;130280;121007
47;Dienstleistungen des Gesundheits- und Sozialwesens;241724;232231;221748;221746;220545;219838;231312;241724;241714;234291;249199;277954;242168;258831;251625;267442;242318;236334;250425;245543
48;Sonstige Dienstleistungen;242347;248345;235094;248971;249351;250932;265840;242347;226801;220819;222515;217772;191532;206343;185262;206177;176346;170882;171667;167710
49;Private Haushalte;5034151;5223041;5136472;5019256;4888826;4821034;5126588;5034151;5066945;4973657;4898153;4922515;4546245;4803153;4746034;4947897;4544524;4563299;4704306;4294162
