Produktionsbereiche;
;
;
;
ID;Name
;
1;Erz.d. Landwirtschaft u. Jagd sowie damit verb. DL
2;Forstwirtschaftl. Erzeugnisse und Dienstleistungen
3;Fische und Fischereierz., Aquakulturerz., DL
4;Kohle
5;Erdöl und Erdgas
6;Erze, Steine und Erden, sonstige Bergbauerz., DL
7;Nahrungs- u. Futtermittel, Getränke, Tabakerzeugn.
8;Textilien, Bekleidung, Leder und Lederwaren
9;Holz,Holz- u.Korkwaren (oh.Möbel),Flecht- u.Korbw.
10;Papier, Pappe und Waren daraus
11;DL d.Vervielf. v. besp.Ton-, Bild- u. Datenträgern
12;Kokerei- und Mineralölerzeugnisse
13;Chemische Erzeugnisse
14;Pharmazeutische Erzeugnisse
15;Gummi- und Kunststoffwaren
16;Glas u. Glaswaren, Keramik, verarb. Steine u.Erden
17;Metalle
18;Metallerzeugnisse
19;Datenverarbeitungsgeräte, elektr.u.opt.Erzeugnisse
20;Elektrische Ausrüstungen
21;Maschinen
22;Kraftwagen und Kraftwagenteile
23;Sonstige Fahrzeuge
24;Möbel und Waren, a.n.g.
25;Rep.- u.Installationsarb. an Maschinen u. Ausrüst.
26;Energie und Dienstleistungen der Energieversorgung
27;Wasser, Dienstleistungen der Wasserversorgung
28;DL d. Abwasser-, Abfallentsorgung u. Rückgewinnung
29;Hoch- und Tiefbauarbeiten
30;Vorb.Baustellen-,Bauinstallations-,Ausbauarbeiten
31;Handelsleistungen mit Kfz, Instandh. und Reparatur
32;Großhandelsleistungen (oh.Handelsleistungen m.Kfz)
33;Einzelhandelsleistungen (ohne Handelsleist.m.Kfz)
34;Landverkehrs- u. Transportleist. in Rohrfernleit.
35;Schifffahrtsleistungen
36;Luftfahrtleistungen
37;Lagereileist., sonst.Unterstützungs-DL f.d.Verkehr
38;Post-DL und private Kurier- und Express-DL
39;Beherbergungs- und Gastronomiedienstleistungen
40;Informations- und Kommunikationsdienstleistungen
41;Finanz- und Versicherungsdienstleistungen
42;Dienstleistungen d. Grundstücks- u. Wohnungswesens
43;Freiberufliche, wissenschaftliche u. technische DL
44;Sonstige wirtschaftliche Dienstleistungen
45;DL d.öff.Verwaltung,d.Verteidigung u.d.Sozialvers.
46;Erziehungs- und Unterrichtsdienstleistungen
47;Dienstleistungen des Gesundheits- und Sozialwesens
48;Sonstige Dienstleistungen
49;Private Haushalte
